from,to,minutes
02S,09S,2
02S,HOB,5
02S,NEW,6
08S,22S,2
09S,02S,1
09S,LIN,3
22S,08S,3
22S,34S,2
34S,22S,2
34S,45S,2
45S,34S,2
45S,DAN,2
45S,ESS,9
BER,POR,2
BER,TON,2
DAN,45S,2
DAN,RIC,1
ESS,EXP,2
ESS,LSP,5
ESS,MAR,2
EXP,ESS,2
EXP,HRB,2
GAR,LSP,3
GAR,MLK,2
HCV,HRB,2
HCV,NEW,3
HOB,02S,4
HOB,NEW,3
HRB,EXP,2
HRB,HCV,2
HRB,NEW,4
JER,LSP,3
JER,MAR,1
LIN,09S,3
LIN,POR,3
LSP,45S,5
LSP,GAR,3
LSP,JER,3
LSP,RIC,3
MAR,ESS,2
MAR,JER,1
MLK,GAR,2
MLK,WSA,2
NEW,02S,5
NEW,HCV,2
NEW,HOB,4
NEW,HRB,4
POR,BER,2
POR,LIN,3
RIC,DAN,1
RIC,LSP,3
TON,BER,2
WSA,MLK,2
