hour,minute,express,start,end,color
05,20,0,LSP,HOB,B
05,35,0,LSP,TON,Y
05,36,0,TON,WSA,Y
05,41,0,LSP,HOB,B
05,45,0,HOB,08S,B
05,48,0,WSA,TON,Y
05,56,0,TON,WSA,Y
06,01,0,LSP,HOB,B
06,01,0,08S,HOB,B
06,05,0,HOB,08S,B
06,08,0,WSA,TON,Y
06,10,0,GAR,WSA,Y
06,16,0,TON,WSA,Y
06,25,0,HOB,08S,B
06,28,0,WSA,TON,Y
06,29,0,08S,HOB,B
06,36,0,TON,WSA,Y
06,45,0,HOB,08S,B
06,48,0,WSA,TON,Y
06,49,0,08S,HOB,B
06,56,0,TON,WSA,Y
07,01,0,08S,HOB,B
07,05,0,HOB,08S,B
07,08,0,WSA,TON,Y
07,16,0,TON,WSA,Y
07,25,0,HOB,08S,B
07,28,0,WSA,TON,Y
07,29,0,08S,HOB,B
07,36,0,TON,WSA,Y
07,45,0,HOB,08S,B
07,48,0,WSA,TON,Y
07,49,0,08S,HOB,B
07,56,0,TON,WSA,Y
08,01,0,08S,HOB,B
08,05,0,HOB,08S,B
08,08,0,WSA,TON,Y
08,16,0,TON,WSA,Y
08,25,0,HOB,08S,B
08,28,0,WSA,TON,Y
08,29,0,08S,HOB,B
08,36,0,TON,WSA,Y
08,45,0,HOB,08S,B
08,48,0,WSA,TON,Y
08,49,0,08S,HOB,B
08,56,0,TON,WSA,Y
09,01,0,08S,HOB,B
09,05,0,HOB,08S,B
09,08,0,WSA,TON,Y
09,16,0,TON,WSA,Y
09,25,0,HOB,08S,B
09,28,0,WSA,TON,Y
09,29,0,08S,HOB,B
09,36,0,TON,WSA,Y
09,45,0,HOB,08S,B
09,48,0,WSA,TON,Y
09,49,0,08S,HOB,B
09,56,0,TON,WSA,Y
10,01,0,08S,HOB,B
10,05,0,HOB,08S,B
10,08,0,WSA,TON,Y
10,16,0,TON,WSA,Y
10,25,0,HOB,08S,B
10,28,0,WSA,TON,Y
10,29,0,08S,HOB,B
10,36,0,TON,WSA,Y
10,45,0,HOB,08S,B
10,48,0,WSA,TON,Y
10,49,0,08S,HOB,B
10,56,0,TON,WSA,Y
11,01,0,08S,HOB,B
11,05,0,HOB,08S,B
11,08,0,WSA,TON,Y
11,16,0,TON,WSA,Y
11,25,0,HOB,08S,B
11,28,0,WSA,TON,Y
11,29,0,08S,HOB,B
11,36,0,TON,WSA,Y
11,45,0,HOB,08S,B
11,48,0,WSA,TON,Y
11,49,0,08S,HOB,B
11,56,0,TON,WSA,Y
12,01,0,08S,HOB,B
12,05,0,HOB,08S,B
12,08,0,WSA,TON,Y
12,16,0,TON,WSA,Y
12,25,0,HOB,08S,B
12,28,0,WSA,TON,Y
12,29,0,08S,HOB,B
12,36,0,TON,WSA,Y
12,45,0,HOB,08S,B
12,48,0,WSA,TON,Y
12,49,0,08S,HOB,B
12,56,0,TON,WSA,Y
13,01,0,08S,HOB,B
13,05,0,HOB,08S,B
13,08,0,WSA,TON,Y
13,16,0,TON,WSA,Y
13,25,0,HOB,08S,B
13,28,0,WSA,TON,Y
13,29,0,08S,HOB,B
13,36,0,TON,WSA,Y
13,45,0,HOB,08S,B
13,48,0,WSA,TON,Y
13,49,0,08S,HOB,B
13,56,0,TON,WSA,Y
14,01,0,08S,HOB,B
14,05,0,HOB,08S,B
14,08,0,WSA,TON,Y
14,16,0,TON,WSA,Y
14,25,0,HOB,08S,B
14,28,0,WSA,TON,Y
14,29,0,08S,HOB,B
14,36,0,TON,WSA,Y
14,45,0,HOB,08S,B
14,48,0,WSA,TON,Y
14,49,0,08S,HOB,B
14,56,0,TON,WSA,Y
15,01,0,08S,HOB,B
15,05,0,HOB,08S,B
15,08,0,WSA,TON,Y
15,16,0,TON,WSA,Y
15,25,0,HOB,08S,B
15,28,0,WSA,TON,Y
15,29,0,08S,HOB,B
15,36,0,TON,WSA,Y
15,45,0,HOB,08S,B
15,48,0,WSA,TON,Y
15,49,0,08S,HOB,B
15,56,0,TON,WSA,Y
16,01,0,08S,HOB,B
16,05,0,HOB,08S,B
16,08,0,WSA,TON,Y
16,16,0,TON,WSA,Y
16,25,0,HOB,08S,B
16,28,0,WSA,TON,Y
16,29,0,08S,HOB,B
16,36,0,TON,WSA,Y
16,45,0,HOB,08S,B
16,48,0,WSA,TON,Y
16,49,0,08S,HOB,B
16,56,0,TON,WSA,Y
17,01,0,08S,HOB,B
17,05,0,HOB,08S,B
17,08,0,WSA,TON,Y
17,16,0,TON,WSA,Y
17,25,0,HOB,08S,B
17,28,0,WSA,TON,Y
17,29,0,08S,HOB,B
17,36,0,TON,WSA,Y
17,45,0,HOB,08S,B
17,48,0,WSA,TON,Y
17,49,0,08S,HOB,B
17,56,0,TON,WSA,Y
18,01,0,08S,HOB,B
18,05,0,HOB,08S,B
18,08,0,WSA,TON,Y
18,16,0,TON,WSA,Y
18,25,0,HOB,08S,B
18,28,0,WSA,TON,Y
18,29,0,08S,HOB,B
18,36,0,TON,WSA,Y
18,45,0,HOB,08S,B
18,48,0,WSA,TON,Y
18,49,0,08S,HOB,B
18,56,0,TON,WSA,Y
19,01,0,08S,HOB,B
19,05,0,HOB,08S,B
19,08,0,WSA,TON,Y
19,16,0,TON,WSA,Y
19,25,0,HOB,08S,B
19,28,0,WSA,TON,Y
19,29,0,08S,HOB,B
19,36,0,TON,WSA,Y
19,45,0,HOB,08S,B
19,48,0,WSA,TON,Y
19,49,0,08S,HOB,B
19,56,0,TON,WSA,Y
20,01,0,08S,HOB,B
20,05,0,HOB,08S,B
20,08,0,WSA,TON,Y
20,16,0,TON,WSA,Y
20,25,0,HOB,08S,B
20,28,0,WSA,TON,Y
20,29,0,08S,HOB,B
20,36,0,TON,WSA,Y
20,45,0,HOB,08S,B
20,48,0,WSA,TON,Y
20,49,0,08S,HOB,B
20,56,0,TON,WSA,Y
21,01,0,08S,HOB,B
21,05,0,HOB,08S,B
21,08,0,WSA,TON,Y
21,16,0,TON,WSA,Y
21,25,0,HOB,08S,B
21,28,0,WSA,TON,Y
21,29,0,08S,HOB,B
21,36,0,TON,WSA,Y
21,45,0,HOB,08S,B
21,48,0,WSA,TON,Y
21,49,0,08S,HOB,B
21,56,0,TON,WSA,Y
22,01,0,08S,HOB,B
22,05,0,HOB,08S,B
22,08,0,WSA,TON,Y
22,16,0,TON,WSA,Y
22,25,0,HOB,08S,B
22,28,0,WSA,TON,Y
22,29,0,08S,HOB,B
22,36,0,TON,WSA,Y
22,45,0,HOB,08S,B
22,48,0,WSA,TON,Y
22,49,0,08S,HOB,B
22,56,0,TON,WSA,Y
23,01,0,08S,HOB,B
23,05,0,HOB,08S,B
23,08,0,WSA,TON,Y
23,16,0,TON,WSA,Y
23,25,0,HOB,08S,B
23,28,0,WSA,TON,Y
23,29,0,08S,HOB,B
23,36,0,TON,WSA,Y
23,45,0,HOB,08S,B
23,48,0,WSA,TON,Y
23,49,0,08S,HOB,B
23,56,0,TON,WSA,Y
24,05,0,HOB,08S,B
24,16,0,TON,WSA,Y
24,18,0,WSA,TON,Y
24,20,0,08S,HOB,B
24,35,0,HOB,08S,B
24,36,0,TON,WSA,Y
24,48,0,WSA,TON,Y
24,54,0,08S,HOB,B
25,01,0,TON,WSA,Y
25,05,0,HOB,08S,B
25,24,0,08S,HOB,B
25,31,0,TON,WSA,Y
